id,text,title,labels
doc_651,Is a privacy governance structure defined in alignment with ISO 27018 requirements?,27018 – Privacy Governance,"Privacy governance structure, ISO 27018 requirements, Standards alignment"
doc_652,Are privacy management responsibilities assigned within the organization?,27018 – Privacy Governance,"Privacy management, Responsibility assignment, Organizational roles"
doc_653,Is there a documented policy for handling PII in cloud environments?,27018 – Privacy Governance,"PII handling policy, Cloud environments, Documented policy"
doc_654,Are privacy risks incorporated into the organization's overall risk assessment?,27018 – Privacy Governance,"privacy risks, risk assessment"
doc_655,Is a privacy impact assessment (PIA) conducted for cloud services processing PII?,27018 – Privacy Governance,"Privacy impact assessment, Cloud services, PII processing"
doc_656,Are roles of PII controller and PII processor defined for each cloud service?,27018 – Roles & Responsibilities,"PII controller, PII processor, role definition, cloud service"
doc_657,Does the CSP clearly document its responsibilities as a PII processor?,27018 – Roles & Responsibilities,"CSP responsibilities, PII processor, Responsibility documentation"
doc_658,Is the customer informed of their obligations as the PII controller?,27018 – Roles & Responsibilities,"Customer obligations, PII controller, Controller notification"
doc_659,Is a RACI matrix used to document privacy responsibilities?,27018 – Roles & Responsibilities,"RACI matrix, Privacy responsibilities, Responsibility documentation"
doc_660,Are subcontractor (subprocessor) roles documented and disclosed?,27018 – Roles & Responsibilities,"Subcontractor roles, Subprocessor roles, Role documentation, Role disclosure"
doc_661,Is PII collected strictly based on documented legal ground or controller instructions?,27018 – PII Collection,"PII collection, Legal basis, Controller instructions, Documentation requirements"
doc_662,Is collection of unnecessary PII avoided?,27018 – PII Collection,"PII collection, Unnecessary data, Data minimization"
doc_663,Is PII collected only through secure and authorized channels?,27018 – PII Collection,"PII collection, Secure channels, Authorized channels"
doc_664,Are data subjects informed about the PII being collected?,27018 – PII Collection,"Data subject notice, PII collection, Privacy notice, Transparency requirement"
doc_665,Are mechanisms in place to validate data subject identity during PII collection?,27018 – PII Collection,"Data subject identity, Identity validation, PII collection"
doc_666,Is consent obtained before processing PII where applicable?,27018 – Consent & Choice,"Consent, PII processing"
doc_667,Are consent withdrawal mechanisms available?,27018 – Consent & Choice,"Consent withdrawal, Withdrawal mechanisms"
doc_668,Are consent logs maintained and auditable?,27018 – Consent & Choice,"Consent logs, Auditability, Log retention"
doc_669,Is processing suspended when consent is withdrawn?,27018 – Consent & Choice,"Consent withdrawal, Processing suspension"
doc_670,Is consent required for additional processing not originally disclosed?,27018 – Consent & Choice,"Consent requirement, Additional processing, Original disclosure"
doc_671,Is PII processed only for documented and legitimate purposes?,27018 – Purpose Limitation,"PII processing, Documented purposes, Legitimate purposes"
doc_672,Are processing limitations included in contracts with the customer?,27018 – Purpose Limitation,"Customer contracts, Processing limitations, Contract terms"
doc_673,Are secondary uses of PII prohibited unless explicitly approved?,27018 – Purpose Limitation,"PII, Secondary use prohibition, Explicit approval"
doc_674,Is access to PII limited to authorized processing operations only?,27018 – Purpose Limitation,"PII access control, Authorized processing, Data access limitation"
doc_675,Are automated processing operations documented and approved?,27018 – Purpose Limitation,"automated processing, process documentation, approval process"
doc_676,Are PII accuracy and completeness validated when required?,27018 – Accuracy & Data Quality,"PII accuracy, PII completeness, validation requirements"
doc_677,Are mechanisms available for correcting inaccurate PII?,27018 – Accuracy & Data Quality,"PII correction, Inaccurate PII, Correction mechanisms"
doc_678,Are controllers notified if inconsistent or invalid PII is detected?,27018 – Accuracy & Data Quality,"controller notification, invalid PII detection, inconsistent PII detection"
doc_679,Is PII quality maintained throughout the processing lifecycle?,27018 – Accuracy & Data Quality,"PII quality, Processing lifecycle"
doc_680,Are logs retained for changes made to PII?,27018 – Accuracy & Data Quality,"Log retention, PII changes, Audit logs"
doc_681,Are procedures implemented to ensure PII is anonymized where required?,27018 – Pseudonymization & Anonymization,"PII anonymization, Anonymization procedures, Privacy requirements"
doc_682,Are pseudonymization keys stored separately and securely?,27018 – Pseudonymization & Anonymization,"Pseudonymization keys, Key storage separation, Secure storage"
doc_683,Is re-identification of anonymized data prohibited?,27018 – Pseudonymization & Anonymization,"Anonymized data, Re-identification prohibition, Data privacy policy"
doc_684,Are anonymization techniques reviewed regularly for adequacy?,27018 – Pseudonymization & Anonymization,"Anonymization techniques, Regular review, Adequacy assessment"
doc_685,Are anonymization failures reported as privacy incidents?,27018 – Pseudonymization & Anonymization,"Anonymization failures, Privacy incidents, Incident reporting"
doc_686,Are PII disclosures to third parties restricted to controller approval only?,27018 – PII Disclosure Controls,"PII disclosure, Third parties, Controller approval, Disclosure restrictions"
doc_687,"Does the CSP notify the customer before disclosing PII to law enforcement, unless legally prohibited?",27018 – PII Disclosure Controls,"CSP notification, Customer notification, PII disclosure, Law enforcement requests, Legal prohibition"
doc_688,Are logs kept for all PII disclosures?,27018 – PII Disclosure Controls,"PII disclosures, Disclosure logs, Logging retention"
doc_689,Are third-party PII recipients evaluated for adequate protection?,27018 – PII Disclosure Controls,"Third-party recipients, PII sharing, Recipient evaluation, Adequate protection"
doc_690,Is unauthorized PII disclosure treated as a security incident?,27018 – PII Disclosure Controls,"PII disclosure, Unauthorized disclosure, Security incident"
doc_691,Are strict access controls applied to cloud environments storing PII?,27018 – Access Control for PII,"strict access controls, cloud environments, PII storage, access control policy"
doc_692,Are privileged users restricted from directly accessing PII?,27018 – Access Control for PII,"Privileged users, Direct access restriction, PII access"
doc_693,Are just-in-time access mechanisms used for PII environments?,27018 – Access Control for PII,"Just-in-time access, Access mechanisms, PII environments"
doc_694,Are access attempts to PII logged and monitored in real time?,27018 – Access Control for PII,"PII access, Access logging, Real-time monitoring, Access attempts"
doc_695,Is multifactor authentication mandatory for PII access?,27018 – Access Control for PII,"Multifactor authentication, PII access, Access control requirement, Authentication policy"
doc_696,Is PII stored using encryption at rest?,27018 – Protection of PII in Storage,"PII storage, Encryption at rest"
doc_697,Is PII encrypted during transmission?,27018 – Protection of PII in Storage,"PII encryption, Data transmission, Encryption in transit"
doc_698,Are key management responsibilities clearly assigned?,27018 – Protection of PII in Storage,"Key management, Responsibility assignment"
doc_699,Are encryption keys rotated periodically?,27018 – Protection of PII in Storage,"Encryption keys, Key rotation, Periodic rotation"
doc_700,Is PII separated logically or physically from other tenant data?,27018 – Protection of PII in Storage,"PII separation, Logical separation, Physical separation, Tenant data isolation"
doc_701,Are PII processing activities logged comprehensively?,27018 – Logging & Monitoring of PII Activities,"PII processing, Activity logging, Comprehensive logging"
doc_702,Are logs monitored for unauthorized access attempts?,27018 – Logging & Monitoring of PII Activities,"Log monitoring, Unauthorized access attempts"
doc_703,Are logs protected from tampering?,27018 – Logging & Monitoring of PII Activities,"Log integrity, Tamper protection, Audit logs"
doc_704,Are PII access logs retained per policy or regulation?,27018 – Logging & Monitoring of PII Activities,"PII access logs, Log retention, Retention policy, Regulatory compliance"
doc_705,Are logs accessible to the controller upon request?,27018 – Logging & Monitoring of PII Activities,"Log access, Controller request, Audit logs"
doc_706,Are procedures defined for reporting PII breaches?,27018 – PII Breach Notification,"PII breach reporting, Reporting procedures"
doc_707,Does the CSP notify the controller without undue delay after a breach?,27018 – PII Breach Notification,"CSP notification, Controller notification, Breach notification, Undue delay"
doc_708,Are breach detection mechanisms applied across cloud infrastructure?,27018 – PII Breach Notification,"Breach detection, Detection mechanisms, Cloud infrastructure"
doc_709,Are breach notification obligations included in contracts?,27018 – PII Breach Notification,"Breach notification, Notification obligations, Contract clauses"
doc_710,Are breach logs maintained for audit purposes?,27018 – PII Breach Notification,"Breach logs, Audit purposes, Log maintenance"
doc_711,Is PII deleted securely upon customer request?,27018 – Secure Deletion of PII,"PII deletion, Secure deletion, Customer request"
doc_712,Are deletion records retained as proof of erasure?,27018 – Secure Deletion of PII,"Deletion records, Record retention, Proof of erasure"
doc_713,Are secure wipe techniques used for cloud storage media?,27018 – Secure Deletion of PII,"Secure wipe techniques, Cloud storage media"
doc_714,Are backup copies of PII deleted following the end of retention periods?,27018 – Secure Deletion of PII,"PII backups, Backup deletion, Retention periods"
doc_715,Is PII deletion validated by automated or manual verification?,27018 – Secure Deletion of PII,"PII deletion, Deletion validation, Automated verification, Manual verification"
doc_716,Are audit logs made available to the customer to validate PII protection controls?,27018 – Customer Audit Rights,"Audit logs, Customer access, PII protection controls"
doc_717,"Are CSP SOC 2, ISO 27001, and privacy certifications shared with customers?",27018 – Customer Audit Rights,"SOC 2 reports, ISO 27001 certification, privacy certifications, customer sharing"
doc_718,Are customers allowed to request security assessments?,27018 – Customer Audit Rights,"Customer requests, Security assessments, Assessment policy"
doc_719,Does the CSP provide transparency on subprocessors for audits?,27018 – Customer Audit Rights,"CSP transparency, Subprocessor disclosure, Audit support"
doc_720,Are audit findings shared with customers when relevant to PII?,27018 – Customer Audit Rights,"Audit findings, Customer disclosure, PII relevance"
doc_721,Are privacy training programs mandatory for employees handling PII?,27018 – Human Resource Controls,"privacy training, mandatory training, employees, PII handling"
doc_722,Are confidentiality agreements required for staff accessing PII?,27018 – Human Resource Controls,"Confidentiality agreements, Staff access, Personally identifiable information"
doc_723,Are employees trained to identify privacy risks?,27018 – Human Resource Controls,"employee training, privacy risks, risk identification"
doc_724,Are privacy violations subject to disciplinary actions?,27018 – Human Resource Controls,"privacy violations, disciplinary actions"
doc_725,Are PII access rights removed immediately after role changes?,27018 – Human Resource Controls,"PII access rights, Role changes, Access removal timing, Access deprovisioning"
doc_726,Are cloud applications processing PII tested for security vulnerabilities?,27018 – Application Security for PII,"Cloud applications, PII processing, Vulnerability testing, Security vulnerabilities"
doc_727,Are PII fields masked in application logs?,27018 – Application Security for PII,"PII masking, Application logs, Log data protection"
doc_728,Are secure APIs used to access PII?,27018 – Application Security for PII,"secure APIs, PII access, PII"
doc_729,Are applications validated to ensure they do not expose PII?,27018 – Application Security for PII,"Application validation, PII exposure"
doc_730,Are PII validation rules applied to prevent injection attacks?,27018 – Application Security for PII,"PII validation rules, Injection attacks, Input validation"
doc_731,Is PII transferred only using secure protocols?,27018 – Secure Transfer of PII,"PII transfer, Secure protocols, Data transmission security"
doc_732,Are PII transfers logged?,27018 – Secure Transfer of PII,"PII transfers, Transfer logging"
doc_733,Are cross-border PII transfers controlled and documented?,27018 – Secure Transfer of PII,"Cross-border transfers, PII transfers, Transfer controls, Transfer documentation"
doc_734,Are transfer mechanisms compliant with regional regulations?,27018 – Secure Transfer of PII,"Transfer mechanisms, Regional regulations, Regulatory compliance"
doc_735,Are PII transfers restricted to approved destinations?,27018 – Secure Transfer of PII,"PII transfers, transfer restrictions, approved destinations"
doc_736,Is PII retention aligned with contractual and regulatory requirements?,27018 – PII Retention,"PII retention, Contractual requirements, Regulatory requirements, Compliance alignment"
doc_737,Are retention schedules documented and enforced?,27018 – PII Retention,"Retention schedules, Documentation, Enforcement"
doc_738,Are customers able to define custom retention policies?,27018 – PII Retention,"Customer-defined retention, Custom retention policies, Data retention"
doc_739,Is PII automatically flagged for deletion when retention expires?,27018 – PII Retention,"PII deletion, Retention expiration, Automatic flagging"
doc_740,Are long-term PII archives protected appropriately?,27018 – PII Retention,"Long-term archives, PII protection"
doc_741,Are subprocessors approved by the customer before processing PII?,27018 – Subprocessor Controls,"Subprocessor approval, Customer approval, PII processing, Third-party processors"
doc_742,Are subprocessors bound by the same privacy requirements as the CSP?,27018 – Subprocessor Controls,"Subprocessors, Privacy requirements, CSP obligations"
doc_743,Are subprocessors regularly assessed for privacy compliance?,27018 – Subprocessor Controls,"Subprocessor assessment, Privacy compliance, Regular assessment"
doc_744,Are subprocessor access privileges limited to required operations only?,27018 – Subprocessor Controls,"Subprocessor access, Access privileges, Least privilege, Required operations"
doc_745,Is a list of subprocessors maintained and communicated to customers?,27018 – Subprocessor Controls,"Subprocessor list, Customer communication, Vendor management"
doc_746,Are privacy obligations documented in cloud service agreements?,27018 – Contractual Requirements,"Privacy obligations, Cloud service agreements, Documented obligations, Contract documentation"
