id,text,title,labels
doc_201,"Is there a formal, approved information security policy outlining control objectives and requirements?",5.1 Information Security Policies,"approved policy, control objectives, information security policy, policy requirements"
doc_202,Is the information security policy reviewed at planned intervals?,5.1 Information Security Policies,"information security policy, policy review, planned intervals"
doc_203,Are all relevant stakeholders aware of the information security policy?,5.1 Information Security Policies,"Stakeholder awareness, Information security policy"
doc_204,Are procedures available to implement the information security policy?,5.1 Information Security Policies,"information security policy, policy procedures, procedure availability, policy implementation"
doc_205,Is an information security management framework established?,6.1 Internal Organization,Information security management framework
doc_206,Are information security roles clearly defined?,6.1 Internal Organization,"Information security roles, Role definition, Role clarity"
doc_207,Are conflicts of interest avoided through segregation of duties?,6.1 Internal Organization,"conflicts of interest, segregation of duties"
doc_208,Is contact established with cybersecurity authorities?,6.1 Internal Organization,"Cybersecurity authorities, Authority contact, External coordination"
doc_209,Is contact maintained with threat-intelligence communities and industry groups?,6.1 Internal Organization,"Threat intelligence, Industry groups, Community engagement, External contacts, Contact maintenance"
doc_210,Are mobile computing activities governed by policy?,6.2 Mobile Devices and Teleworking,"mobile computing, policy governance"
doc_211,Are teleworking arrangements risk assessed and controlled?,6.2 Mobile Devices and Teleworking,"teleworking arrangements, risk assessment, risk controls"
doc_212,Are security requirements defined for remote access equipment?,6.2 Mobile Devices and Teleworking,"Security requirements, Remote access equipment"
doc_213,Are background verification checks conducted on new employees?,7.1 Prior to Employment,"Background verification, New employees, Employee screening"
doc_214,Is the organization verifying the integrity and reliability of new hires?,7.1 Prior to Employment,"New hire vetting, Integrity verification, Reliability verification, Pre-employment screening"
doc_215,Do contracts contain confidentiality and security obligations?,7.1 Prior to Employment,"Contracts, Confidentiality obligations, Security obligations"
doc_216,Are employees trained in their security responsibilities?,7.2 During Employment,"employee training, security responsibilities"
doc_217,Is ongoing security awareness conducted?,7.2 During Employment,"Security awareness, Ongoing training"
doc_218,Is disciplinary action defined for security violations?,7.2 During Employment,"Disciplinary action, Security violations"
doc_219,Are users reminded of security responsibilities regularly?,7.2 During Employment,"User reminders, Security responsibilities, Security awareness"
doc_220,Is access removed when an employee changes role or leaves?,7.3 Termination or Change of Employment,"Access removal, Role change, Employee departure, Offboarding, Access revocation"
doc_221,Are organizational assets returned at offboarding?,7.3 Termination or Change of Employment,"asset return, offboarding"
doc_222,Is termination handled in coordination with HR and IT?,7.3 Termination or Change of Employment,"Termination process, HR coordination, IT coordination"
doc_223,Is an updated inventory of assets maintained?,8.1 Responsibility for Assets,"asset inventory, inventory updates, asset management"
doc_224,Are asset owners assigned and documented?,8.1 Responsibility for Assets,"asset ownership, owner assignment, documentation"
doc_225,Do asset owners ensure appropriate asset handling?,8.1 Responsibility for Assets,"asset ownership, asset handling, asset owners"
doc_226,Are assets classified based on sensitivity and value?,8.2 Information Classification,"asset classification, sensitivity level, asset value"
doc_227,Is information labeling implemented according to classification?,8.2 Information Classification,"Information labeling, Data classification"
doc_228,Are handling procedures aligned with classification?,8.2 Information Classification,"handling procedures, data classification, procedure alignment"
doc_229,Is removable media usage restricted and monitored?,8.3 Media Handling,"removable media, usage restrictions, usage monitoring"
doc_230,Is information securely erased from media before disposal?,8.3 Media Handling,"secure erasure, media disposal, data sanitization, information deletion"
doc_231,Are media transfers tracked and protected?,8.3 Media Handling,"media transfers, transfer tracking, transfer protection"
doc_232,Is sensitive media stored in secure physical areas?,8.3 Media Handling,"Sensitive media, Media storage, Physical security, Secure areas"
doc_233,Are digital media subject to authorized encryption?,8.3 Media Handling,"Digital media, Authorized encryption, Encryption policy"
doc_234,Is access to information based on least privilege?,9.1 Business Requirements for Access Control,"Least privilege, Information access control, Access permissions"
doc_235,Are access rights aligned with business requirements?,9.1 Business Requirements for Access Control,"Access rights, Business requirements, Access control alignment"
doc_236,Are network access rules documented?,9.1 Business Requirements for Access Control,"Network access rules, Rules documentation"
doc_237,Is user registration managed under formal procedures?,9.2 User Access Management,"User registration, Formal procedures"
doc_238,Are user accounts uniquely identifiable?,9.2 User Access Management,"User accounts, Unique identification"
doc_239,Are user access rights reviewed periodically?,9.2 User Access Management,"User access rights, Periodic review, Access review"
doc_240,Are privileged accounts granted only with authorization?,9.2 User Access Management,"Privileged accounts, Account authorization, Access provisioning"
doc_241,Are shared accounts avoided or strictly controlled?,9.2 User Access Management,"Shared accounts, Account control, Account management"
doc_242,Are orphaned accounts removed promptly?,9.2 User Access Management,"Orphaned accounts, Account removal, Timely deprovisioning"
doc_243,Is strong authentication implemented?,9.3 User Authentication,"Strong authentication, Authentication implementation"
doc_244,Are password requirements enforced according to policy?,9.3 User Authentication,"Password requirements, Policy enforcement, Password policy"
