id,text,title,labels
doc_851,Is a Privacy Information Management System (PIMS) established and documented?,27701 – PIMS Governance,"privacy compliance, PII processing, governance, documentation"
doc_852,Is the PIMS integrated with the existing ISMS (ISO 27001)?,27701 – PIMS Governance,"privacy compliance, PII processing, governance, documentation"
doc_853,Are privacy objectives defined and measurable?,27701 – PIMS Governance,"privacy objectives, performance metrics, monitoring, privacy governance, metrics monitoring"
doc_854,Are privacy objectives aligned to business and regulatory needs?,27701 – PIMS Governance,"privacy compliance, PII processing, governance, documentation"
doc_855,Is the PIMS regularly reviewed by senior management?,27701 – PIMS Governance,"PIMS governance, management review"
doc_856,Are roles for PII controllers and PII processors clearly defined?,27701 – Organizational Roles,"privacy compliance, PII processing, governance, documentation"
doc_857,Is a Data Protection Officer (DPO) appointed where required?,27701 – Organizational Roles,"privacy compliance, PII processing, governance, documentation"
doc_858,Are responsibilities for PII lifecycle management documented?,27701 – Organizational Roles,"PII documentation, data flows, privacy compliance"
doc_859,Are privacy responsibilities communicated to all relevant employees?,27701 – Organizational Roles,"privacy training, employee awareness, privacy responsibilities, employee communication"
doc_860,Are privacy responsibilities reviewed during organizational changes?,27701 – Organizational Roles,"privacy compliance, PII processing, governance, documentation"
doc_861,Is an inventory of all PII categories maintained?,27701 – PII Inventory & Mapping,"PII governance, privacy compliance"
doc_862,Are PII flows documented across systems and subprocessors?,27701 – PII Inventory & Mapping,"privacy compliance, PII processing, governance, documentation, PII documentation, data flows"
doc_863,Is PII classified based on sensitivity and risk?,27701 – PII Inventory & Mapping,"PII, privacy risk, data classification, access controls"
doc_864,"Are PII storage locations documented, including cloud and on-prem?",27701 – PII Inventory & Mapping,"PII documentation, data flows, privacy compliance"
doc_865,Are lawful bases for processing each PII category identified?,27701 – PII Inventory & Mapping,"PII processing, documentation, legal basis"
doc_866,Is there a privacy policy publicly available for data subjects?,27701 – Privacy Policy Requirements,"privacy compliance, PII processing, governance, documentation"
doc_867,Does the privacy policy specify what PII is processed and why?,27701 – Privacy Policy Requirements,"privacy compliance, PII processing, governance, documentation"
doc_868,Are privacy notices aligned with regulatory requirements (GDPR etc.)?,27701 – Privacy Policy Requirements,"privacy compliance, regulatory requirements, GDPR alignment"
doc_869,Are data subjects informed of their rights?,27701 – Privacy Policy Requirements,"privacy compliance, PII processing, governance, documentation"
doc_870,Are privacy notices reviewed periodically?,27701 – Privacy Policy Requirements,"privacy policies, policy review, regulatory compliance, privacy notices, periodic review, policy updates, regulatory changes"
doc_871,Is the legal basis for each PII processing operation documented?,27701 – Legal Basis for PII Processing,"PII, documentation, retention policies, PII processing, legal basis"
doc_872,Are consent requirements documented when applicable?,27701 – Legal Basis for PII Processing,"privacy compliance, PII processing, governance, documentation"
doc_873,"Are consent mechanisms available, explicit, and auditable?",27701 – Legal Basis for PII Processing,"privacy compliance, PII processing, governance, documentation"
doc_874,Is processing limited to what is necessary for the intended purpose?,27701 – Legal Basis for PII Processing,"privacy compliance, PII processing, governance, documentation"
doc_875,Is processing of sensitive PII subject to enhanced controls?,27701 – Legal Basis for PII Processing,"privacy compliance, PII processing, governance, documentation"
doc_876,Are notices provided when PII is collected directly from data subjects?,27701 – Transparency & Notices,"PII collection, data subject notice, privacy notice"
doc_877,Are data subjects informed if PII is collected indirectly?,27701 – Transparency & Notices,"privacy compliance, PII processing, governance, documentation, PII collection, data subject notice, privacy notice"
doc_878,Do privacy notices include retention durations?,27701 – Transparency & Notices,"privacy compliance, PII processing, governance, documentation"
doc_879,Are data subjects notified of automated decision-making?,27701 – Transparency & Notices,"privacy compliance, PII processing, governance, documentation"
doc_880,Are data subjects notified when new purposes for processing arise?,27701 – Transparency & Notices,"privacy compliance, PII processing, governance, documentation"
doc_881,Are data subject access requests (DSAR) handled promptly?,27701 – Data Subject Rights Management,"privacy compliance, PII processing, governance, documentation"
doc_882,Are procedures implemented to correct inaccurate PII?,27701 – Data Subject Rights Management,"PII accuracy, PII correction procedures, data subject correction, PII updates, correction procedures"
doc_883,Are deletion/erasure requests handled according to regulations?,27701 – Data Subject Rights Management,"privacy compliance, PII processing, governance, documentation"
doc_884,Are restrictions on processing supported when requested?,27701 – Data Subject Rights Management,"privacy compliance, PII processing, governance, documentation"
doc_885,Is PII portability supported through standard formats?,27701 – Data Subject Rights Management,"privacy compliance, PII processing, governance, documentation"
doc_886,Are documented procedures in place to ensure PII is used only for intended purposes?,27701 – Purpose Limitation,"privacy compliance, PII processing, governance, documentation"
doc_887,Are secondary uses of PII prevented without explicit approval?,27701 – Purpose Limitation,"privacy compliance, PII processing, governance, documentation"
doc_888,Are employees trained on purpose limitation requirements?,27701 – Purpose Limitation,"privacy training, employee awareness, privacy responsibilities"
doc_889,Are automated systems restricted from using PII for unintended analytics?,27701 – Purpose Limitation,"privacy compliance, PII processing, governance, documentation"
doc_890,Is monitoring in place to detect unauthorized processing purposes?,27701 – Purpose Limitation,"Monitoring, Compliance, Privacy, privacy compliance, PII processing, governance, documentation"
doc_891,Is data minimization applied to all PII processing activities?,27701 – Data Minimization,"privacy compliance, PII processing, governance, documentation"
doc_892,Are PII collection forms validated to avoid collecting unnecessary data?,27701 – Data Minimization,"privacy compliance, PII processing, governance, documentation"
doc_893,Are PII retention durations minimized to what is necessary?,27701 – Data Minimization,"PII retention, data minimization, retention duration, legal compliance, retention schedules"
doc_894,Are logs retained without unnecessary PII?,27701 – Data Minimization,"privacy compliance, PII processing, governance, documentation"
doc_895,Are anonymization techniques used when identifiable data is not needed?,27701 – Data Minimization,"privacy compliance, PII processing, governance, documentation"
doc_896,Are accuracy checks implemented for PII updates?,27701 – PII Accuracy & Quality,"PII accuracy, PII updates, correction procedures"
doc_897,Are data subjects notified when inaccurate PII is corrected?,27701 – PII Accuracy & Quality,"PII correction, data subject notification, data subject rights"
doc_898,Are controllers informed if inaccurate data is detected by the processor?,27701 – PII Accuracy & Quality,"privacy compliance, PII processing, governance, documentation"
doc_899,Are automated systems validated to prevent creating inaccurate PII?,27701 – PII Accuracy & Quality,"privacy compliance, PII processing, governance, documentation"
doc_900,Are PII accuracy procedures reviewed periodically?,27701 – PII Accuracy & Quality,"PII accuracy, procedure review, effectiveness evaluation, periodic review"
doc_901,Are retention policies documented for each category of PII?,27701 – PII Retention Management,"PII, documentation, retention policies"
doc_902,Are PII retention schedules aligned with legal obligations?,27701 – PII Retention Management,"privacy compliance, PII processing, governance, documentation, PII retention, retention schedules, data minimization, legal compliance"
doc_903,Are PII deletion triggers configured in systems and workflows?,27701 – PII Retention Management,"PII deletion, data deletion, workflows, procedures, testing, documentation"
doc_904,Are customers informed when retention schedules change?,27701 – PII Retention Management,"customer notification, change management, PII processing"
doc_905,Are PII retention exceptions documented and approved?,27701 – PII Retention Management,"PII, documentation, retention policies"
doc_906,Are PII deletion procedures documented and tested?,27701 – Secure PII Deletion,"PII deletion, documented procedures, testing, deletion verification, data deletion, workflows, procedures, documentation"
doc_907,"Are all copies of PII deleted upon request, including backups?",27701 – Secure PII Deletion,"PII deletion, data retention, backup removal, PII, data deletion, secure deletion, backups, contract termination"
doc_908,Are deletion logs retained as evidence of erasure?,27701 – Secure PII Deletion,"privacy compliance, PII processing, governance, documentation"
doc_909,Are deletion processes aligned with customer agreements?,27701 – Secure PII Deletion,"privacy compliance, PII processing, governance, documentation"
doc_910,Is PII deletion verified for completeness and accuracy?,27701 – Secure PII Deletion,"PII deletion, documented procedures, testing, deletion verification"
doc_911,Is PII protected with encryption in storage?,27701 – PII Protection Controls,"PII protection, encryption"
doc_912,Is PII encrypted in transit across networks?,27701 – PII Protection Controls,"PII protection, encryption"
doc_913,Are PII access rights reviewed frequently?,27701 – PII Protection Controls,"PII, access control, monitoring, unauthorized access"
doc_914,Are PII access attempts logged and monitored?,27701 – PII Protection Controls,"PII, access control, monitoring, unauthorized access"
doc_915,Are intrusion detection systems applied to PII systems?,27701 – PII Protection Controls,"privacy compliance, PII processing, governance, documentation"
doc_916,Are processors prevented from engaging subprocessors without authorization?,27701 – Subprocessor Governance,"subprocessor authorization, subprocessor monitoring, privacy compliance, PII processing, governance, documentation"
doc_917,Are subprocessors bound to the same privacy obligations?,27701 – Subprocessor Governance,"PII governance, privacy compliance, PII processing, governance, documentation"
doc_918,Is a list of subprocessors maintained and provided to controllers?,27701 – Subprocessor Governance,"PII governance, privacy compliance, PII processing, governance, documentation"
doc_919,Are subprocessors monitored for privacy compliance?,27701 – Subprocessor Governance,"PII governance, privacy compliance, subprocessor authorization, subprocessor monitoring, Monitoring, Compliance, Privacy, PII processing, governance, documentation, PII documentation, data flows, regular reviews, risk assessment, third-party oversight, PII protection, data processing, controller obligations, subprocessors, controller notification, subprocessor changes, vendor management, third-party assessments, privacy controls, audits, monitoring, privacy governance, metrics monitoring, PII, access control, unauthorized access, data subject rights, processor compliance"
doc_920,Are controllers notified before subprocessors change?,27701 – Subprocessor Governance,"PII governance, privacy compliance, subprocessors, controller notification, subprocessor changes"
doc_921,Are cross-border PII transfers documented and justified?,27701 – International Data Transfers,"privacy compliance, PII processing, governance, documentation"
doc_922,"Are appropriate safeguards (SCC, BCR) documented for international transfers?",27701 – International Data Transfers,"privacy compliance, PII processing, governance, documentation"
doc_923,Are controllers notified of the geographic location of stored PII?,27701 – International Data Transfers,"PII governance, privacy compliance"
doc_924,Are region restrictions honored for customer PII?,27701 – International Data Transfers,"privacy compliance, PII processing, governance, documentation"
doc_925,Is regulatory guidance followed for data transfers outside allowed jurisdictions?,27701 – International Data Transfers,"privacy compliance, PII processing, governance, documentation"
doc_926,Are PII breach notification procedures documented?,27701 – PII Breach Management,"PII, breach response, notification procedures, documentation"
doc_927,Is the controller notified promptly in case of a PII breach?,27701 – PII Breach Management,"PII notification, controller notification, breach reporting, PII incidents"
doc_928,Are breach reports detailed enough to meet regulatory reporting obligations?,27701 – PII Breach Management,"privacy compliance, PII processing, governance, documentation"
doc_929,Are breach handling roles clearly defined?,27701 – PII Breach Management,"breach management, roles and responsibilities"
doc_930,Are breach logs retained for audits and regulators?,27701 – PII Breach Management,"privacy compliance, PII processing, governance, documentation"
doc_931,Are privacy audit logs retained according to policy?,27701 – PII Audit Logging,"privacy compliance, PII processing, governance, documentation"
doc_932,Are logs protected from unauthorized modification?,27701 – PII Audit Logging,"privacy compliance, PII processing, governance, documentation"
doc_933,Are PII logs reviewed for suspicious activities?,27701 – PII Audit Logging,"PII logs, audit logs, suspicious activity monitoring, log review, log monitoring, suspicious activity"
doc_934,Are audit trails linked to PII processing activities?,27701 – PII Audit Logging,"privacy compliance, PII processing, governance, documentation"
doc_935,Are audit logs accessible to the controller when required?,27701 – PII Audit Logging,"privacy compliance, PII processing, governance, documentation"
doc_936,Are privacy controls verified regularly through internal audits?,27701 – PIMS Internal Audit,"privacy compliance, regular reviews, risk assessment, privacy controls, audits, monitoring"
doc_937,Are audit findings tracked to closure?,27701 – PIMS Internal Audit,"privacy compliance, PII processing, governance, documentation"
doc_938,Are privacy risks included in management review inputs?,27701 – PIMS Internal Audit,"privacy compliance, regular reviews, risk assessment"
doc_939,Are corrective actions applied for privacy control deficiencies?,27701 – PIMS Internal Audit,"privacy compliance, PII processing, governance, documentation"
doc_940,Are auditors trained in privacy requirements?,27701 – PIMS Internal Audit,"privacy training, employee awareness, privacy responsibilities"
doc_941,Are employees trained in privacy practices and obligations?,27701 – Privacy Training,"privacy training, employee awareness, privacy responsibilities, employee communication"
doc_942,Is privacy training mandatory for staff with PII access?,27701 – Privacy Training,"privacy training, employee awareness, privacy responsibilities"
doc_943,Are training records maintained for compliance?,27701 – Privacy Training,"privacy compliance, PII processing, governance, documentation"
doc_944,Are employees tested on privacy awareness?,27701 – Privacy Training,"privacy training, employee awareness, privacy responsibilities"
doc_945,Is refresher training conducted periodically?,27701 – Privacy Training,"privacy compliance, PII processing, governance, documentation"
doc_946,Are privacy requirements included in system development?,27701 – Privacy by Design,"privacy requirements, system development, acceptance criteria"
doc_947,Are privacy controls validated during QA testing?,27701 – Privacy by Design,"privacy controls, testing, QA"
doc_948,Are default settings configured to provide maximum privacy?,27701 – Privacy by Design,"default settings, privacy configuration, privacy level, system configuration"
doc_949,Are systems designed to minimize PII capture?,27701 – Privacy by Design,"privacy compliance, PII processing, governance, documentation"
doc_950,Are privacy design reviews performed before deployment?,27701 – Privacy by Design,"privacy design reviews, development lifecycle, pre-deployment review"
doc_951,Are privacy requirements included as acceptance criteria for new systems?,27701 – Privacy by Design Integration,"privacy requirements, system development, acceptance criteria"
doc_952,Are privacy controls tested before releasing new features?,27701 – Privacy by Design Integration,"privacy controls, testing, QA"
doc_953,Are privacy design reviews integrated into development sprints?,27701 – Privacy by Design Integration,"privacy design reviews, development lifecycle, pre-deployment review"
doc_954,Are system default configurations set to the highest privacy level?,27701 – Privacy by Design Integration,"default settings, privacy configuration, privacy level, system configuration"
doc_955,Is privacy impact considered during design changes?,27701 – Privacy by Design Integration,"privacy compliance, PII processing, governance, documentation"
doc_956,Is a Data Protection Impact Assessment (DPIA) conducted for high-risk processing?,27701 – DPIA / PIA Requirements,"privacy compliance, PII processing, governance, documentation"
doc_957,Are DPIA outcomes documented and approved?,27701 – DPIA / PIA Requirements,"DPIA, documentation, approval, stakeholder communication"
doc_958,Are mitigation measures implemented for DPIA-identified risks?,27701 – DPIA / PIA Requirements,"privacy compliance, PII processing, governance, documentation"
doc_959,Is DPIA reviewed when changes affect PII processing risk?,27701 – DPIA / PIA Requirements,"privacy compliance, PII processing, governance, documentation"
doc_960,Are DPIA decisions shared with appropriate stakeholders?,27701 – DPIA / PIA Requirements,"DPIA, documentation, approval, stakeholder communication"
doc_961,Does the organization maintain clear instructions for PII processors?,27701 – Controller Obligations,"privacy compliance, PII processing, governance, documentation"
doc_962,Does the controller maintain clear lawful bases for all processing activities?,27701 – Controller Obligations,"privacy compliance, data processing, controller obligations"
doc_963,Does the controller ensure data subject rights are supported by processors?,27701 – Controller Obligations,"privacy compliance, PII processing, governance, documentation, data subject rights, processor compliance"
doc_964,Are processing activities reviewed regularly for compliance with controller obligations?,27701 – Controller Obligations,"privacy compliance, PII processing, governance, documentation, data processing, controller obligations"
