id,text,title,labels
doc_001,Have you identified internal issues that affect your ISMS?,Clause 4 – Context,"ISMS context, risk identification, issue identification"
doc_002,Have you identified external issues that affect your ISMS?,Clause 4 – Context,"ISMS context, risk identification, issue identification"
doc_003,Are relevant interested parties documented?,Clause 4 – Context,"documentation, interested parties, information security requirements"
doc_004,Are the information security requirements of interested parties documented?,Clause 4 – Context,"documentation, interested parties, information security requirements"
doc_005,Is the ISMS scope clearly defined?,Clause 4 – Context,"ISMS scope, ISMS governance, documentation, metrics, continuous improvement"
doc_006,"Does the scope include all relevant assets, systems, and processes?",Clause 4 – Context,"documentation, monitoring, risk management, policy compliance"
doc_007,Is the scope reviewed periodically?,Clause 4 – Context,periodic review
doc_008,Are exclusions from the ISMS scope justified?,Clause 4 – Context,ISMS scope
doc_009,Are dependencies with external parties documented?,Clause 4 – Context,"documentation, monitoring, risk management, policy compliance"
doc_010,Are interfaces between different internal processes defined?,Clause 4 – Context,"documentation, monitoring, risk management, policy compliance"
doc_011,Is top management committed to the ISMS?,Clause 5 – Leadership,"ISMS, management commitment, management review, risk assessment, change management"
doc_012,Is there a documented information security policy?,Clause 5 – Leadership,"documented policies, information security, policy maintenance, documentation"
doc_013,Has the information security policy been communicated to all employees?,Clause 5 – Leadership,"information security policy, policy communication, employee awareness"
doc_014,Are roles and responsibilities for information security assigned?,Clause 5 – Leadership,"roles and responsibilities, security accountability, information security governance"
doc_015,Is there a governance committee for information security?,Clause 5 – Leadership,"information security governance, governance structure"
doc_016,Does management participate in risk assessment reviews?,Clause 5 – Leadership,"ISMS, management commitment, management review, risk assessment, change management"
doc_017,Are ISMS objectives aligned to business goals?,Clause 5 – Leadership,"ISMS objectives, objective alignment, performance monitoring, planning"
doc_018,Are ISMS objectives measurable and monitored?,Clause 5 – Leadership,"ISMS objectives, monitoring, metrics, documentation, objective alignment, performance monitoring, planning"
doc_019,Are responsibilities for incident reporting defined?,Clause 5 – Leadership,"incident response, roles and responsibilities, documentation"
doc_020,Does leadership allocate adequate resources for the ISMS?,Clause 5 – Leadership,"ISMS, resource allocation, leadership"
doc_021,Has the organization identified ISMS-related risks?,Clause 6 – Planning,"ISMS context, risk identification"
doc_022,Is there a risk assessment methodology?,Clause 6 – Planning,"documentation, risk assessment methodology"
doc_023,Is the risk assessment methodology documented?,Clause 6 – Planning,"documentation, risk assessment methodology"
doc_024,Are risk owners assigned?,Clause 6 – Planning,"risk management, documentation"
doc_025,Are risk acceptance criteria defined?,Clause 6 – Planning,documentation
doc_026,Are threats and vulnerabilities documented?,Clause 6 – Planning,"documentation, monitoring, risk management, policy compliance, threat management, vulnerability management"
doc_027,Are risk treatments documented?,Clause 6 – Planning,"risk management, documentation, risk treatment, implementation"
doc_028,Is a risk register maintained?,Clause 6 – Planning,"risk management, documentation"
doc_029,Is the Statement of Applicability (SoA) up to date?,Clause 6 – Planning,"documentation, monitoring, risk management, policy compliance"
doc_030,Are excluded Annex A controls justified in the SoA?,Clause 6 – Planning,"documentation, monitoring, risk management, policy compliance"
doc_031,Are ISMS objectives regularly monitored?,Clause 6 – Planning,"ISMS objectives, monitoring, metrics, documentation, objective alignment, performance monitoring, planning"
doc_032,Are plans established to achieve ISMS objectives?,Clause 6 – Planning,"ISMS objectives, objective alignment, performance monitoring, planning"
doc_033,Are changes affecting the ISMS planned and evaluated?,Clause 6 – Planning,"ISMS, management commitment, management review, risk assessment, change management"
doc_034,Are risk acceptance decisions documented?,Clause 6 – Planning,"risk management, documentation"
doc_035,Are resources required for the ISMS available?,Clause 7 – Support,"ISMS governance, documentation, metrics, continuous improvement, ISMS, resource allocation, leadership"
doc_036,Are personnel competent for their security roles?,Clause 7 – Support,"personnel competence, security roles, competency requirements, ISMS roles"
doc_037,Are competence requirements defined for each ISMS role?,Clause 7 – Support,"ISMS governance, documentation, metrics, continuous improvement, personnel competence, security roles, competency requirements, ISMS roles"
doc_038,Are training records maintained?,Clause 7 – Support,"documentation, monitoring, risk management, policy compliance"
doc_039,Are employees aware of security policies?,Clause 7 – Support,"employee awareness, security policies, security training, security responsibilities"
doc_040,Do employees understand their security responsibilities?,Clause 7 – Support,"employee awareness, security policies, security training, security responsibilities"
doc_041,Is annual security awareness training conducted?,Clause 7 – Support,"documentation, monitoring, risk management, policy compliance"
doc_042,Is security communication defined and documented?,Clause 7 – Support,"documentation, security governance, security communication"
doc_043,Are communication channels for security matters defined?,Clause 7 – Support,"documentation, security governance"
doc_044,Are ISMS documents controlled with versioning?,Clause 7 – Support,"ISMS documentation, document control, version control, ISMS governance, documentation, metrics, continuous improvement"
doc_045,Are outdated ISMS documents removed from use?,Clause 7 – Support,"ISMS documentation, document control, version control"
doc_046,Is access to ISMS documentation restricted?,Clause 7 – Support,"ISMS governance, documentation, metrics, continuous improvement"
doc_047,Are operational controls implemented per the SoA?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_048,Are risk treatments executed as planned?,Clause 8 – Operation,"risk management, documentation, risk treatment, implementation"
doc_049,Are processes monitored for deviations?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_050,Are operational changes reviewed and approved?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_051,Are outsourced processes monitored?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_052,Are third-party security risks evaluated?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_053,Are operational logs maintained?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance, log management, log retention"
doc_054,Are procedures updated after incidents?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_055,Are operational tasks assigned to competent staff?,Clause 8 – Operation,"documentation, monitoring, risk management, policy compliance"
doc_056,Are internal audits conducted as scheduled?,Clause 9 – Performance,"documentation, monitoring, risk management, policy compliance"
doc_057,Are audit records maintained?,Clause 9 – Performance,"audit logs, documentation, monitoring, risk management, policy compliance"
doc_058,Are audit findings tracked until closure?,Clause 9 – Performance,"documentation, monitoring, risk management, policy compliance"
doc_059,Is ISMS effectiveness measured?,Clause 9 – Performance,"ISMS governance, documentation, metrics, continuous improvement"
doc_060,Are ISMS metrics documented?,Clause 9 – Performance,"ISMS objectives, monitoring, metrics, documentation, ISMS governance, continuous improvement"
doc_061,Are metrics reviewed by management?,Clause 9 – Performance,"management review, documentation"
doc_062,Does management perform scheduled ISMS reviews?,Clause 9 – Performance,"ISMS, management commitment, management review, risk assessment, change management, ISMS reviews, scheduled reviews"
doc_063,Are management review inputs documented?,Clause 9 – Performance,"documentation, management review"
doc_064,Are management review outputs documented?,Clause 9 – Performance,"documentation, management review"
doc_065,Are incident trends analyzed over time?,Clause 9 – Performance,"documentation, monitoring, risk management, policy compliance"
doc_066,Are nonconformities identified and recorded?,Clause 10 – Improvement,"documentation, monitoring, risk management, policy compliance"
doc_067,Are corrective actions assigned with deadlines?,Clause 10 – Improvement,"documentation, monitoring, risk management, policy compliance"
doc_068,Are root cause analyses performed?,Clause 10 – Improvement,"root cause analysis, incident management"
doc_069,Are improvement opportunities documented?,Clause 10 – Improvement,"documentation, risk management, monitoring, policy compliance, continual improvement, improvement tracking, threat management, vulnerability management, ISMS governance, metrics, continuous improvement, management review"
doc_070,Is continual improvement demonstrated?,Clause 10 – Improvement,"documentation, monitoring, risk management, policy compliance, continual improvement, improvement tracking"
doc_071,Are information security policies documented and maintained?,A.5 – Information Security Policies,"documented policies, information security, policy maintenance, documentation"
doc_072,Are information security policies approved by management?,A.5 – Information Security Policies,documentation
doc_073,Are information security policies communicated to all staff?,A.5 – Information Security Policies,"information security policy, policy communication, employee awareness"
doc_074,Are policies reviewed at planned intervals?,A.5 – Information Security Policies,"documentation, monitoring, risk management, policy compliance, periodic review"
doc_075,Is compliance with security policies verified?,A.5 – Information Security Policies,documentation
doc_076,Is an information security governance structure defined?,A.6 – Organization of Information Security,"information security governance, governance structure"
doc_077,Are security responsibilities assigned to specific roles?,A.6 – Organization of Information Security,"roles and responsibilities, security accountability, information security governance"
doc_078,Is segregation of duties implemented?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_079,Are contacts with authorities maintained for incident reporting?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_080,Are contacts with special interest groups maintained?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_081,Is threat intelligence obtained and used?,A.6 – Organization of Information Security,"documentation, threat management, vulnerability management"
doc_082,Are information security requirements considered in project management?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_083,Are mobile devices managed under a formal policy?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_084,Is remote working governed by appropriate controls?,A.6 – Organization of Information Security,"documentation, monitoring, risk management, policy compliance"
doc_085,Are background checks performed for new hires?,A.7 – Human Resource Security,"documentation, monitoring, risk management, policy compliance"
doc_086,Do employees sign confidentiality agreements?,A.7 – Human Resource Security,"documentation, monitoring, risk management, policy compliance"
doc_087,Are employees given security training during onboarding?,A.7 – Human Resource Security,"employee awareness, security policies, security training"
doc_088,Are employee security responsibilities defined in job descriptions?,A.7 – Human Resource Security,"employee awareness, security responsibilities, security policies"
doc_089,Is there a disciplinary process for security violations?,A.7 – Human Resource Security,"documentation, monitoring, risk management, policy compliance"
doc_090,Are access rights revoked immediately upon termination?,A.7 – Human Resource Security,"access revocation, employee termination, access rights"
doc_091,Are exit procedures documented for departing staff?,A.7 – Human Resource Security,"documentation, monitoring, risk management, policy compliance"
doc_092,Is an inventory of information assets maintained?,A.8 – Asset Management,"documentation, information assets, asset inventory, asset classification"
doc_093,Are ownership responsibilities assigned for each asset?,A.8 – Asset Management,documentation
doc_094,Are information assets classified according to sensitivity?,A.8 – Asset Management,"information assets, asset inventory, asset classification"
doc_095,Are asset handling procedures documented?,A.8 – Asset Management,documentation
doc_096,Is acceptable use of assets defined?,A.8 – Asset Management,documentation
doc_097,Are removable media controlled and monitored?,A.8 – Asset Management,"documentation, monitoring, risk management, policy compliance"
doc_098,Is data securely erased when assets are disposed of?,A.8 – Asset Management,"secure data erasure, asset disposal, device wiping"
doc_099,Is there a documented access control policy?,A.9 – Access Control,"documented policies, information security, policy maintenance"
doc_100,Are user access requests formally approved?,A.9 – Access Control,"documentation, monitoring, risk management, policy compliance"
doc_101,Are privileged accounts strictly controlled?,A.9 – Access Control,"documentation, monitoring, risk management, policy compliance"
doc_102,Is MFA enabled for all critical systems?,A.9 – Access Control,"documentation, monitoring, risk management, policy compliance"
doc_103,Are user access rights reviewed periodically?,A.9 – Access Control,periodic review
doc_104,Are dormant accounts removed in a timely manner?,A.9 – Access Control,"documentation, monitoring, risk management, policy compliance"
doc_105,Is a formal password policy enforced?,A.9 – Access Control,"documented policies, information security, policy maintenance"
doc_106,Are temporary accounts monitored and removed when no longer needed?,A.9 – Access Control,"documentation, monitoring, risk management, policy compliance"
doc_107,Is access revoked immediately after employee termination?,A.9 – Access Control,"access revocation, employee termination, access rights"
doc_108,Is third-party access managed and monitored?,A.9 – Access Control,"third-party access, access management, access monitoring, access review, access control"
doc_109,Is a cryptographic policy defined and documented?,A.10 – Cryptography,"documented policies, information security, policy maintenance"
doc_110,Are encryption standards aligned with best practices?,A.10 – Cryptography,"documentation, monitoring, risk management, policy compliance"
doc_111,Are cryptographic keys securely stored?,A.10 – Cryptography,"documentation, monitoring, risk management, policy compliance"
doc_112,Are key rotations performed based on policy?,A.10 – Cryptography,"documentation, monitoring, risk management, policy compliance"
doc_113,Are encryption mechanisms approved before use?,A.10 – Cryptography,"documentation, monitoring, risk management, policy compliance"
doc_114,Is sensitive data encrypted in transit?,A.10 – Cryptography,"sensitive data, data encryption"
doc_115,Is sensitive data encrypted at rest?,A.10 – Cryptography,"sensitive data, data encryption"
doc_116,Are secure physical areas identified?,A.11 – Physical & Environmental Security,"physical security, secure areas, access control"
doc_117,Is physical access to secure areas restricted?,A.11 – Physical & Environmental Security,"physical security, secure areas, access control"
doc_118,Are entry logs maintained for physical access?,A.11 – Physical & Environmental Security,"documentation, monitoring, risk management, policy compliance"
doc_119,Are visitor access procedures enforced?,A.11 – Physical & Environmental Security,"documentation, monitoring, risk management, policy compliance"
doc_120,Is equipment protected from theft or damage?,A.11 – Physical & Environmental Security,"documentation, monitoring, risk management, policy compliance"
doc_121,"Are environmental controls (cooling, humidity) in place for server rooms?",A.11 – Physical & Environmental Security,"documentation, monitoring, risk management, policy compliance"
doc_122,Are power backups such as UPS or generators installed?,A.11 – Physical & Environmental Security,"documentation, monitoring, risk management, policy compliance"
