id,text,title,labels
doc_651,Is a privacy governance structure defined in alignment with ISO 27018 requirements?,27018 – Privacy Governance,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_652,Are privacy management responsibilities assigned within the organization?,27018 – Privacy Governance,"responsibility assignment, PII privacy, governance, access control, audit logging, incident response, encryption"
doc_653,Is there a documented policy for handling PII in cloud environments?,27018 – Privacy Governance,"PII handling, cloud environments, access controls, documented policy, Cloud environment, Documentation, Policies and procedures"
doc_654,Are privacy risks incorporated into the organization's overall risk assessment?,27018 – Privacy Governance,"privacy risk management, third-party oversight, subprocessor management, PII protection"
doc_655,Is a privacy impact assessment (PIA) conducted for cloud services processing PII?,27018 – Privacy Governance,"cloud services, PII processing, privacy"
doc_656,Are roles of PII controller and PII processor defined for each cloud service?,27018 – Roles & Responsibilities,"PII, cloud services, data processing"
doc_657,Does the CSP clearly document its responsibilities as a PII processor?,27018 – Roles & Responsibilities,"PII privacy, governance, access control, audit logging, incident response, encryption, PII handling, Cloud environment, Documentation, Policies and procedures"
doc_658,Is the customer informed of their obligations as the PII controller?,27018 – Roles & Responsibilities,"PII handling, Cloud environment, Documentation, Policies and procedures"
doc_659,Is a RACI matrix used to document privacy responsibilities?,27018 – Roles & Responsibilities,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_660,Are subcontractor (subprocessor) roles documented and disclosed?,27018 – Roles & Responsibilities,"documentation, subprocessor management, customer notification, contractual disclosure, privacy compliance"
doc_661,Is PII collected strictly based on documented legal ground or controller instructions?,27018 – PII Collection,"PII handling, Cloud environment, Documentation, Policies and procedures"
doc_662,Is collection of unnecessary PII avoided?,27018 – PII Collection,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_663,Is PII collected only through secure and authorized channels?,27018 – PII Collection,"PII, data transmission, secure channels, secure protocols, encryption in transit"
doc_664,Are data subjects informed about the PII being collected?,27018 – PII Collection,"PII handling, Cloud environment, Documentation, Policies and procedures"
doc_665,Are mechanisms in place to validate data subject identity during PII collection?,27018 – PII Collection,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_666,Is consent obtained before processing PII where applicable?,27018 – Consent & Choice,"PII processing, third-party disclosure, customer approval, subprocessor management"
doc_667,Are consent withdrawal mechanisms available?,27018 – Consent & Choice,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_668,Are consent logs maintained and auditable?,27018 – Consent & Choice,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_669,Is processing suspended when consent is withdrawn?,27018 – Consent & Choice,"PII privacy, governance, access control, audit logging, incident response, encryption"
doc_670,Is consent required for additional processing not originally disclosed?,27018 – Consent & Choice,"subprocessors, privacy requirements, contractual obligations, consent, PII transfer"
